transaction_date,house_age,distance_to_MRT,convenience_stores,latitude,longitude,price_per_unit_area,transaction_year,transaction_month,age_category,distance_category,store_category,accessibility_score,price_category,location_cluster
2013.167,12.0,1360.139,1,24.95204,121.54842,25.3,2013,2,Modern,Moderate,Few,0.5142168991129961,Low,1
2012.667,3.1,577.9615,6,24.97201,121.54722,47.7,2012,8,New,Close,Many,0.7865512056758139,Medium,3
2013.167,16.2,289.3248,5,24.98203,121.54348,46.2,2013,2,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2013.0,13.6,4082.015,0,24.94155,121.50381,15.9,2013,0,Modern,Far,Few,0.22250291729943536,Low,0
2013.5,16.8,4066.587,0,24.94297,121.50342,18.2,2013,6,Mature,Far,Few,0.2239296697714141,Low,0
2013.417,36.1,519.4617,5,24.96305,121.53758,34.7,2013,5,Old,Close,Some,0.7519611573390408,Low,3
2012.75,34.4,512.7871,6,24.98748,121.54301,34.1,2012,9,Old,Close,Many,0.792578411814635,Low,4
2013.583,2.7,533.4762,4,24.97445,121.54765,53.9,2013,7,New,Close,Some,0.7106651226930369,Medium,4
2013.083,36.6,488.8193,8,24.97015,121.54494,38.3,2013,1,Old,Close,Many,0.8747949089560592,Low,3
2013.417,21.7,463.9623,9,24.9703,121.54458,42.0,2013,5,Mature,Close,Abundant,0.9170936376438978,Low,3
2013.583,35.9,640.7391,3,24.97563,121.53715,61.5,2013,7,Old,Close,Some,0.6607456511006977,Medium,4
2013.417,24.2,4605.749,0,24.94684,121.49578,13.4,2013,5,Mature,Far,Few,0.17406898035625964,Low,0
2012.667,29.4,4510.359,1,24.94925,121.49542,13.2,2012,8,Mature,Far,Few,0.22289046844947014,Low,0
2013.417,21.7,512.5487,4,24.974,121.53842,44.2,2013,5,Mature,Close,Some,0.7126004585990089,Low,4
2013.083,31.3,1758.406,1,24.95402,121.55282,20.7,2013,1,Old,Far,Few,0.4773859147496594,Low,1
2013.583,32.1,1438.579,3,24.97419,121.5175,27.0,2013,7,Old,Moderate,Some,0.5869629151940168,Low,2
2013.083,13.3,492.2313,5,24.96515,121.53737,38.9,2013,1,Modern,Close,Some,0.7544793736025208,Low,3
2013.083,16.1,289.3248,5,24.98203,121.54348,51.7,2013,1,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2012.833,31.7,1160.632,0,24.94968,121.53009,13.7,2012,10,Old,Moderate,Few,0.4926669318733709,Low,3
2013.417,33.6,371.2495,8,24.97254,121.54059,41.9,2013,5,Old,Close,Many,0.8856675433078901,Low,4
2012.917,3.5,56.47425,7,24.95744,121.53711,53.5,2012,11,New,Very_Close,Many,0.874777367397547,Medium,3
2013.5,30.3,4510.359,1,24.94925,121.49542,22.6,2013,6,Old,Far,Few,0.22289046844947014,Low,0
2013.083,13.3,336.0532,5,24.95776,121.53438,42.4,2013,1,Modern,Close,Some,0.7689224310463854,Low,3
2013.417,11.0,1931.207,2,24.96365,121.51471,21.3,2013,5,Modern,Far,Few,0.5014056027253919,Low,2
2013.5,5.3,259.6607,6,24.97585,121.54516,63.2,2013,6,Modern,Very_Close,Many,0.8159870660098049,Medium,4
2012.917,17.2,2175.877,3,24.96303,121.51254,27.7,2012,11,Mature,Far,Some,0.5187789805242615,Low,2
2013.583,2.6,533.4762,4,24.97445,121.54765,55.0,2013,7,New,Close,Some,0.7106651226930369,Medium,4
2013.333,17.5,995.7554,0,24.96305,121.54915,25.3,2013,4,Mature,Moderate,Few,0.5079144102647016,Low,1
2013.417,40.1,123.7429,8,24.97635,121.54329,44.3,2013,5,Old,Very_Close,Many,0.9085564889509451,Medium,4
2013.0,1.0,193.5845,6,24.96571,121.54089,50.7,2013,0,New,Very_Close,Many,0.8220976689193823,Medium,3
2013.5,8.5,104.8101,5,24.96674,121.54067,56.8,2013,6,Modern,Very_Close,Some,0.7903073587462186,Medium,3
2013.417,30.4,464.223,6,24.97964,121.53805,36.2,2013,5,Old,Close,Many,0.7970695285973951,Low,4
2012.833,12.5,561.9845,5,24.98746,121.54391,42.0,2012,10,Modern,Close,Some,0.7480287286369758,Low,4
2013.583,6.6,90.45606,9,24.97433,121.5431,59.0,2013,7,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2013.083,35.5,640.7391,3,24.97563,121.53715,40.8,2013,1,Old,Close,Some,0.6607456511006977,Low,4
2013.583,32.5,424.5442,8,24.97587,121.53913,36.3,2013,7,Old,Close,Many,0.8807389495194298,Low,4
2013.167,13.8,4082.015,0,24.94155,121.50381,20.0,2013,2,Modern,Far,Few,0.22250291729943536,Low,0
2012.917,6.8,379.5575,10,24.98343,121.53762,54.4,2012,11,Modern,Close,Abundant,0.9648992350672108,Medium,4
2013.5,12.3,1360.139,1,24.95204,121.54842,29.5,2013,6,Modern,Moderate,Few,0.5142168991129961,Low,1
2013.583,35.9,616.4004,3,24.97723,121.53767,36.8,2013,7,Old,Close,Some,0.6629964483777102,Low,4
2012.833,20.5,2185.128,3,24.96322,121.51237,25.6,2012,10,Mature,Far,Some,0.517923465414184,Low,2
2012.917,38.2,552.4371,2,24.97598,121.53381,29.8,2012,11,Old,Close,Few,0.6289116542625248,Low,4
2013.0,18.0,1414.837,1,24.95182,121.54887,26.5,2013,0,Mature,Moderate,Few,0.5091585307754091,Low,1
2013.5,11.8,533.4762,4,24.97445,121.54765,40.3,2013,6,Modern,Close,Some,0.7106651226930369,Low,4
2013.0,30.8,377.7956,6,24.96427,121.53964,36.8,2013,0,Old,Close,Many,0.8050621722710207,Low,3
2013.083,13.2,150.9347,7,24.96725,121.54252,48.1,2013,1,Modern,Very_Close,Many,0.8660418423429888,Medium,3
2012.917,25.3,2707.392,3,24.96056,121.50831,17.7,2012,11,Mature,Far,Some,0.4696254713108974,Low,2
2013.083,15.1,383.2805,7,24.96735,121.54464,43.7,2013,1,Mature,Close,Many,0.8445549390176141,Low,3
2012.75,0.0,338.9679,9,24.96853,121.54413,50.8,2012,9,New,Close,Abundant,0.9286528850631033,Medium,3
2012.833,1.8,1455.798,1,24.9512,121.549,27.0,2012,10,New,Moderate,Few,0.505370534404867,Low,1
2013.583,16.9,4066.587,0,24.94297,121.50342,18.3,2013,7,Mature,Far,Few,0.2239296697714141,Low,0
2012.917,8.9,1406.43,0,24.98573,121.52758,48.0,2012,11,Modern,Moderate,Few,0.46993599435020317,Medium,4
2013.5,23.0,3947.945,0,24.94783,121.50243,25.3,2013,6,Mature,Far,Few,0.23490145916605382,Low,0
2012.833,0.0,274.0144,1,24.9748,121.53059,45.4,2012,10,New,Very_Close,Few,0.614659662784692,Medium,4
2013.25,9.1,1402.016,0,24.98569,121.5276,43.2,2013,3,Modern,Moderate,Few,0.47034419278235995,Low,4
2012.917,20.6,2469.645,4,24.96108,121.51046,21.8,2012,11,Mature,Far,Some,0.5316118674708359,Low,2
2012.917,31.9,1146.329,0,24.9492,121.53076,16.1,2012,11,Old,Moderate,Few,0.49398964645767945,Low,3
2012.917,40.9,167.5989,5,24.9663,121.54026,41.0,2012,11,Old,Very_Close,Some,0.7845007684161318,Low,3
2012.917,8.0,104.8101,5,24.96674,121.54067,51.8,2012,11,Modern,Very_Close,Some,0.7903073587462186,Medium,3
2013.417,6.4,90.45606,9,24.97433,121.5431,59.5,2013,5,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2013.083,28.4,617.4424,3,24.97746,121.53299,34.6,2013,1,Mature,Close,Some,0.6629000861741969,Low,4
2013.417,16.4,289.3248,5,24.98203,121.54348,51.0,2013,5,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2013.417,6.4,90.45606,9,24.97433,121.5431,62.2,2013,5,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2013.5,17.5,964.7496,4,24.98872,121.53411,38.2,2013,6,Mature,Moderate,Some,0.6707817684313907,Low,4
2012.833,12.7,170.1289,1,24.97371,121.52984,32.9,2012,10,Modern,Very_Close,Few,0.6242667987665268,Low,4
2013.083,1.1,193.5845,6,24.96571,121.54089,54.4,2013,1,New,Very_Close,Many,0.8220976689193823,Medium,3
2012.75,0.0,208.3905,6,24.95618,121.53844,45.7,2012,9,New,Very_Close,Many,0.8207284378395199,Medium,3
2012.667,32.7,392.4459,6,24.96398,121.5425,30.5,2012,8,Old,Close,Many,0.8037073400348118,Low,3
2012.833,0.0,292.9978,6,24.97744,121.54458,71.0,2012,10,New,Very_Close,Many,0.8129041135964263,Medium,4
2013.083,17.2,189.5181,8,24.97707,121.54308,47.1,2013,1,Mature,Very_Close,Many,0.9024737219562021,Medium,4
2013.333,12.2,1360.139,1,24.95204,121.54842,26.6,2013,4,Modern,Moderate,Few,0.5142168991129961,Low,1
2013.417,31.4,592.5006,2,24.9726,121.53561,34.1,2013,5,Old,Close,Few,0.6252066570068131,Low,4
2013.583,4.0,2147.376,3,24.96299,121.51284,28.4,2013,7,New,Far,Some,0.5214146994900293,Low,2
2013.083,8.1,104.8101,5,24.96674,121.54067,51.6,2013,1,Modern,Very_Close,Some,0.7903073587462186,Medium,3
2013.583,33.3,196.6172,7,24.97701,121.54224,39.4,2013,7,Old,Very_Close,Many,0.86181721051766,Low,4
2013.417,9.9,2102.427,3,24.96044,121.51462,23.1,2013,5,Modern,Far,Some,0.525571498612597,Low,2
2013.333,14.8,393.2606,6,24.96172,121.53812,7.6,2013,4,Modern,Close,Many,0.803631998108514,Low,3
2012.667,30.6,143.8383,8,24.98155,121.54142,53.3,2012,8,Old,Very_Close,Many,0.9066981040906003,Medium,4
2013.083,20.6,737.9161,2,24.98092,121.54739,46.4,2013,1,Mature,Close,Few,0.6117589046028058,Medium,4
2013.0,30.9,6396.283,1,24.94375,121.47883,12.2,2013,0,Old,Far,Few,0.04848375799030242,Low,0
2013.0,13.6,4197.349,0,24.93885,121.50383,13.0,2013,0,Modern,Far,Few,0.2118370455336072,Low,0
2013.5,25.3,1583.722,3,24.96622,121.51709,30.6,2013,6,Mature,Far,Some,0.5735403630783562,Low,2
2013.5,16.6,289.3248,5,24.98203,121.54348,59.6,2013,6,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2013.167,13.3,492.2313,5,24.96515,121.53737,31.3,2013,2,Modern,Close,Some,0.7544793736025208,Low,3
2013.5,13.6,492.2313,5,24.96515,121.53737,48.0,2013,6,Modern,Close,Some,0.7544793736025208,Medium,3
2013.25,31.5,414.9476,4,24.98199,121.54464,32.5,2013,3,Old,Close,Some,0.7216264250685995,Low,4
2013.417,0.0,185.4296,0,24.9711,121.5317,45.5,2013,5,New,Very_Close,Few,0.5828518187595262,Medium,4
2012.917,9.9,279.1726,7,24.97528,121.54541,57.4,2012,11,Modern,Very_Close,Many,0.8541826421338647,Medium,4
2013.167,1.1,193.5845,6,24.96571,121.54089,48.6,2013,2,New,Very_Close,Many,0.8220976689193823,Medium,3
2013.083,38.6,804.6897,4,24.97838,121.53477,62.9,2013,1,Old,Moderate,Some,0.6855838074506849,Medium,4
2013.25,3.8,383.8624,5,24.98085,121.54391,55.0,2013,3,New,Close,Some,0.7645011259982051,Medium,4
2013.083,41.3,124.9912,6,24.96674,121.54039,60.7,2013,1,Old,Very_Close,Many,0.8284410485107863,Medium,3
2013.417,38.5,216.8329,7,24.98086,121.54162,41.0,2013,5,Old,Very_Close,Many,0.8599477005391936,Low,4
2013.25,29.6,535.527,8,24.98092,121.53653,37.5,2013,3,Mature,Close,Many,0.8704754685596733,Low,4
2013.5,4.0,2147.376,3,24.96299,121.51284,30.7,2013,6,New,Far,Some,0.5214146994900293,Low,2
2013.167,26.6,482.7581,5,24.97433,121.53863,37.5,2013,2,Mature,Close,Some,0.7553554373513895,Low,4
2012.833,18.0,373.3937,8,24.9866,121.54082,39.5,2012,10,Mature,Close,Many,0.8854692517178968,Low,4
2012.667,33.4,186.9686,6,24.96604,121.54211,42.2,2012,8,Old,Very_Close,Many,0.8227094949291933,Low,3
2012.917,18.9,1009.235,0,24.96357,121.54951,20.8,2012,11,Mature,Moderate,Few,0.5066678421663555,Low,1
2012.75,11.4,390.5684,5,24.97937,121.54245,46.8,2012,9,Modern,Close,Some,0.7638809677095681,Medium,4
2013.5,13.6,319.0708,6,24.96495,121.54277,47.4,2013,6,Modern,Close,Many,0.8104929315117815,Medium,3
2013.167,10.0,942.4664,0,24.97843,121.52406,43.5,2013,2,Modern,Moderate,Few,0.5128424769278644,Low,4
2012.667,12.9,492.2313,5,24.96515,121.53737,42.5,2012,8,Modern,Close,Some,0.7544793736025208,Low,3
2013.25,16.2,289.3248,5,24.98203,121.54348,51.4,2013,3,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2013.333,5.1,1559.827,3,24.97213,121.51627,28.9,2013,4,Modern,Far,Some,0.5757501278124716,Low,2
2013.417,19.8,640.6071,5,24.97017,121.54647,37.5,2013,5,Mature,Close,Some,0.7407578582128511,Low,3
2013.5,13.6,492.2313,5,24.96515,121.53737,40.1,2013,6,Modern,Close,Some,0.7544793736025208,Low,3
2013.083,11.9,1360.139,1,24.95204,121.54842,28.4,2013,1,Modern,Moderate,Few,0.5142168991129961,Low,1
2012.917,2.1,451.2438,5,24.97563,121.54694,45.5,2012,11,New,Close,Some,0.7582698206433056,Medium,4
2012.75,0.0,185.4296,0,24.9711,121.5317,52.2,2012,9,New,Very_Close,Few,0.5828518187595262,Medium,4
2012.75,3.2,489.8821,8,24.97017,121.54494,43.2,2012,9,New,Close,Many,0.8746966232076007,Low,3
2013.5,16.4,3780.59,0,24.93293,121.51203,45.1,2013,6,Mature,Far,Few,0.2503781353358751,Medium,0
2012.667,34.9,179.4538,8,24.97349,121.54245,39.7,2012,8,Old,Very_Close,Many,0.903404449523206,Low,4
2013.25,35.8,170.7311,7,24.96719,121.54269,48.5,2013,3,Old,Very_Close,Many,0.8642111084412334,Medium,3
2013.5,4.9,387.7721,9,24.98118,121.53788,44.7,2013,6,New,Close,Abundant,0.9241395642831611,Medium,4
2013.333,12.0,1360.139,1,24.95204,121.54842,28.9,2013,4,Modern,Moderate,Few,0.5142168991129961,Low,1
2013.25,6.5,376.1709,6,24.95418,121.53713,40.9,2013,3,Modern,Close,Many,0.805212421476441,Low,3
2013.5,16.9,4066.587,0,24.94297,121.50342,20.7,2013,6,Mature,Far,Few,0.2239296697714141,Low,0
2013.167,13.8,4082.015,0,24.94155,121.50381,15.6,2013,2,Modern,Far,Few,0.22250291729943536,Low,0
2013.583,30.7,1264.73,0,24.94883,121.52954,18.3,2013,7,Old,Moderate,Few,0.4830401442905317,Low,3
2013.25,16.1,815.9314,4,24.97886,121.53464,35.6,2013,3,Mature,Moderate,Some,0.6845441961423984,Low,4
2013.0,11.6,390.5684,5,24.97937,121.54245,39.4,2013,0,Modern,Close,Some,0.7638809677095681,Low,4
2012.667,15.5,815.9314,4,24.97886,121.53464,37.4,2012,8,Mature,Moderate,Some,0.6845441961423984,Low,4
2012.917,3.5,49.66105,8,24.95836,121.53756,57.8,2012,11,New,Very_Close,Many,0.9154074393409023,Medium,3
2013.417,19.2,616.4004,3,24.97723,121.53767,39.6,2013,5,Mature,Close,Some,0.6629964483777102,Low,4
2012.75,16.0,4066.587,0,24.94297,121.50342,11.6,2012,9,Mature,Far,Few,0.2239296697714141,Low,0
2013.5,8.5,104.8101,5,24.96674,121.54067,55.5,2013,6,Modern,Very_Close,Some,0.7903073587462186,Medium,3
2012.833,0.0,185.4296,0,24.9711,121.5317,55.2,2012,10,New,Very_Close,Few,0.5828518187595262,Medium,4
2012.917,13.7,1236.564,1,24.97694,121.55391,30.6,2012,11,Modern,Moderate,Few,0.5256448830853044,Low,4
2013.417,0.0,292.9978,6,24.97744,121.54458,73.6,2013,5,New,Very_Close,Many,0.8129041135964263,Medium,4
2013.417,28.2,330.0854,8,24.97408,121.54011,43.4,2013,5,Mature,Close,Many,0.8894743219850861,Low,4
2013.083,27.6,515.1122,5,24.96299,121.5432,37.4,2013,1,Mature,Close,Some,0.7523633909323044,Low,3
2013.417,8.4,1962.628,1,24.95468,121.55481,23.5,2013,5,Modern,Far,Few,0.45849984764229346,Low,1
2013.333,24.0,4527.687,0,24.94741,121.49628,14.4,2013,4,Mature,Far,Few,0.1812880075449817,Low,0
2013.083,3.6,383.8624,5,24.98085,121.54391,58.8,2013,1,New,Close,Some,0.7645011259982051,Medium,4
2013.583,6.6,90.45606,9,24.97433,121.5431,58.1,2013,7,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2013.083,41.3,401.8807,4,24.98326,121.5446,35.1,2013,1,Old,Close,Some,0.7228348274458422,Low,4
2013.417,4.3,432.0385,7,24.9805,121.53778,45.2,2013,5,New,Close,Many,0.8400458907269257,Medium,4
2013.083,30.2,472.1745,3,24.97005,121.53758,36.5,2013,1,Old,Close,Some,0.676334188807342,Low,3
2012.833,13.9,4573.779,0,24.94867,121.49507,19.2,2012,10,Modern,Far,Few,0.1770255059285412,Low,0
2013.083,33.0,181.0766,9,24.97697,121.54262,42.0,2013,1,Old,Very_Close,Abundant,0.9432543760262182,Low,4
2013.5,13.1,1144.436,4,24.99176,121.53456,36.7,2013,6,Modern,Moderate,Some,0.6541647075433326,Low,4
2013.083,14.0,438.8513,1,24.97493,121.5273,42.6,2013,1,Modern,Close,Few,0.5994158557748195,Low,4
2012.667,26.9,4449.27,0,24.94898,121.49621,15.5,2012,8,Mature,Far,Few,0.1885398644671464,Low,0
2013.167,11.6,201.8939,8,24.98489,121.54121,55.9,2013,2,Modern,Very_Close,Many,0.9013292312093318,Medium,4
2013.5,13.5,2147.376,3,24.96299,121.51284,23.6,2013,6,Modern,Far,Some,0.5214146994900293,Low,2
2013.5,17.0,4082.015,0,24.94155,121.50381,18.8,2013,6,Mature,Far,Few,0.22250291729943536,Low,0
2012.75,14.1,2615.465,0,24.95495,121.56174,21.8,2012,9,Modern,Far,Few,0.3581267076663284,Low,1
2012.75,31.4,1447.286,3,24.97285,121.5173,21.5,2012,9,Old,Moderate,Some,0.5861577081825105,Low,2
2013.167,20.9,2185.128,3,24.96322,121.51237,25.7,2013,2,Mature,Far,Some,0.517923465414184,Low,2
2013.0,8.9,3078.176,0,24.95464,121.56627,22.0,2013,0,Modern,Far,Few,0.3153360631847523,Low,1
2012.917,34.8,190.0392,8,24.97707,121.54312,44.3,2012,11,Old,Very_Close,Many,0.9024255316066333,Medium,4
2012.917,16.3,4066.587,0,24.94297,121.50342,20.5,2012,11,Mature,Far,Few,0.2239296697714141,Low,0
2013.5,35.3,616.5735,8,24.97945,121.53642,42.3,2013,6,Old,Close,Many,0.8629804404147274,Low,4
2013.167,13.2,750.0704,2,24.97371,121.54951,37.8,2013,2,Modern,Close,Few,0.6106348977600411,Low,4
2013.167,43.8,57.58945,7,24.9675,121.54069,42.7,2013,2,Old,Very_Close,Many,0.874674235795476,Low,3
2013.417,9.7,421.479,5,24.98246,121.54477,49.3,2013,5,Modern,Close,Some,0.7610224134601291,Medium,4
2013.5,15.2,3771.895,0,24.93363,121.51158,29.3,2013,6,Mature,Far,Few,0.2511822326099129,Low,0
2013.333,15.2,461.1016,5,24.95425,121.5399,34.6,2013,4,Mature,Close,Some,0.7573581898085717,Low,3
2013.0,22.8,707.9067,2,24.981,121.54713,36.6,2013,0,Mature,Close,Few,0.6145341175683618,Low,4
2013.25,34.4,126.7286,8,24.96881,121.54089,48.2,2013,3,Old,Very_Close,Many,0.9082803770209745,Medium,3
2013.083,34.0,157.6052,7,24.96628,121.54196,39.1,2013,1,Old,Very_Close,Many,0.8654249670276961,Low,3
2013.417,18.2,451.6419,8,24.96945,121.5449,31.6,2013,5,Mature,Close,Many,0.8782330051027887,Low,3
2013.417,17.4,995.7554,0,24.96305,121.54915,25.5,2013,5,Mature,Moderate,Few,0.5079144102647016,Low,1
2013.417,13.1,561.9845,5,24.98746,121.54391,45.9,2013,5,Modern,Close,Some,0.7480287286369758,Medium,4
2012.917,38.3,642.6985,3,24.97559,121.53713,31.5,2012,11,Old,Close,Some,0.660564449467719,Low,4
2012.667,15.6,289.3248,5,24.98203,121.54348,46.1,2012,8,Mature,Very_Close,Some,0.7732437857399044,Medium,4
2013.0,18.0,1414.837,1,24.95182,121.54887,26.6,2013,0,Mature,Moderate,Few,0.5091585307754091,Low,1
2013.083,12.8,1449.722,3,24.97289,121.51728,21.4,2013,1,Modern,Moderate,Some,0.5859324314764085,Low,2
2013.25,22.2,379.5575,10,24.98343,121.53762,44.0,2013,3,Mature,Close,Abundant,0.9648992350672108,Low,4
2013.083,38.5,665.0636,3,24.97503,121.53692,34.2,2013,1,Old,Close,Some,0.6584961670130228,Low,4
2012.75,11.5,1360.139,1,24.95204,121.54842,26.2,2012,9,Modern,Moderate,Few,0.5142168991129961,Low,1
2012.833,34.8,175.6294,8,24.97347,121.54271,40.9,2012,10,Old,Very_Close,Many,0.9037581228544113,Low,4
2013.5,5.2,390.5684,5,24.97937,121.54245,52.2,2013,6,Modern,Close,Some,0.7638809677095681,Medium,4
2013.083,0.0,274.0144,1,24.9748,121.53059,43.5,2013,1,New,Very_Close,Few,0.614659662784692,Low,4
2013.333,17.6,1805.665,2,24.98672,121.52091,31.1,2013,4,Mature,Far,Few,0.5130154911644089,Low,4
2013.083,6.2,90.45606,9,24.97433,121.5431,58.0,2013,1,Modern,Very_Close,Abundant,0.9516347934138931,Medium,4
2013.583,18.1,1783.18,3,24.96731,121.51486,20.9,2013,7,Mature,Far,Some,0.5550948617459777,Low,2
2013.333,19.2,383.7129,8,24.972,121.54477,48.1,2013,4,Mature,Close,Many,0.8845149514774999,Medium,3
2013.25,37.8,590.9292,1,24.97153,121.53559,39.7,2013,3,Old,Close,Few,0.5853519771283108,Low,4
2012.917,28.0,372.6242,6,24.97838,121.54119,40.8,2012,11,Mature,Close,Many,0.8055404136330631,Low,4
2013.417,13.6,492.2313,5,24.96515,121.53737,43.8,2013,5,Modern,Close,Some,0.7544793736025208,Low,3
2012.75,29.3,529.7771,8,24.98102,121.53655,40.2,2012,9,Mature,Close,Many,0.8710072085155088,Low,4
2013.333,37.2,186.5101,9,24.97703,121.54265,78.3,2013,4,Old,Very_Close,Abundant,0.9427518961483017,Medium,4
2013.333,9.0,1402.016,0,24.98569,121.5276,38.5,2013,4,Modern,Moderate,Few,0.47034419278235995,Low,4
2013.583,30.6,431.1114,10,24.98123,121.53743,48.5,2013,7,Old,Close,Abundant,0.9601316271941783,Medium,4
2013.25,9.1,1402.016,0,24.98569,121.5276,42.3,2013,3,Modern,Moderate,Few,0.47034419278235995,Low,4
2013.333,34.5,324.9419,6,24.97814,121.5417,46.0,2013,4,Old,Close,Many,0.8099499832075143,Medium,4
2013.25,1.1,193.5845,6,24.96571,121.54089,49.0,2013,3,New,Very_Close,Many,0.8220976689193823,Medium,3
2013.0,16.5,4082.015,0,24.94155,121.50381,12.8,2013,0,Mature,Far,Few,0.22250291729943536,Low,0
2012.917,32.4,265.0609,8,24.98059,121.53986,40.2,2012,11,Old,Very_Close,Many,0.8954876656533634,Low,4
2013.417,11.9,3171.329,0,25.00115,121.51776,46.6,2013,5,Modern,Far,Few,0.3067214486512913,Medium,4
2013.583,31.0,1156.412,0,24.9489,121.53095,19.0,2013,7,Old,Moderate,Few,0.4930571895497872,Low,3
